node_id,name,degree,betweenness,compartment,is_anchor,direction
cpd00184_c,Thymidine_C10H14N2O5,4,0.06338028,Cytosol,False,
cpd00065_c,L-Tryptophan_C11H12N2O2,4,0.57076051,Cytosol,False,
cpd00219_c,Prephenate_C10H8O6,4,0.0,Cytosol,False,
cpd00175_c,UDP-N-acetyl-D-galactosamine_C17H25N3O17,4,0.0,Cytosol,False,
cpd00092_c,Uracil_C4H4N2O2,4,0.00229358,Cytosol,False,
cpd00235_c,D-Mannose_6-phosphate_C6H12O9P,4,0.0,Cytosol,False,
cpd11437_c,fa3coa_C36H61N7O17P3S,4,0.0,Cytosol,False,
cpd00382_c,Raffinose_C18H32O16,4,0.99667959,Cytosol,False,
cpd00290_c,"D-Fructose_1,6-bisphosphate_C6H12O12P2",4,0.0,Cytosol,False,
cpd00305_c,Thiamin_C12H17N4OS,4,0.07225164,Cytosol,False,
cpd15526_c,"1,2-dioctadecanoyl-sn-glycerol_3-phospha",4,0.0,Cytosol,False,
cpd15730_c,"Diglucosyl-1,2_distearoylglycerol_C51H96",4,2.87635811,Cytosol,False,
cpd00236_c,D-Erythrose_4-phosphate_C4H8O7P,4,0.0,Cytosol,False,
cpd00144_c,UDP-glucuronate_C15H19N2O18P2,4,0.0,Cytosol,False,
cpd00078_c,Succinyl-CoA_C25H36N7O19P3S,4,0.12921299,Cytosol,False,
cpd11439_c,fa4coa_C36H61N7O17P3S,4,0.0,Cytosol,False,
cpd15680_c,"1,2-diisopentadecanoyl-sn-glycerol_3-pho",4,0.0,Cytosol,False,
cpd00132_c,L-Asparagine_C4H8N2O3,4,0.70594775,Cytosol,False,
cpd11434_c,fa12coa_C38H65N7O17P3S,4,5.46756718,Cytosol,False,
cpd00760_c,2-Methylbutanoyl-CoA_C26H41N7O17P3S,4,0.03215321,Cytosol,False,
cpd15682_c,"1,2-diisohexadecanoyl-sn-glycerol_3-phos",4,4.87633596,Cytosol,False,
cpd00322_c,L-Isoleucine_C6H13NO2,4,0.00079554,Cytosol,False,
cpd00424_c,Cystathionine_C7H14N2O4S,4,0.008,Cytosol,False,
cpd00220_c,Riboflavin_C17H20N4O6,4,0.0,Cytosol,False,
cpd00277_c,Deoxyguanosine_C10H13N5O4,4,0.59237948,Cytosol,False,
cpd15661_c,45(Phosphoglyceryl)-N-Acetyl-beta-D-mann,4,0.00673753,Cytosol,False,
cpd00311_c,Guanosine_C10H13N5O5,4,0.0,Cytosol,False,
cpd00137_e,Citrate_C6H5O7,4,0.0,Extracellular,False,
cpd00203_c,3-Phospho-D-glyceroyl_phosphate_C3H6O10P,4,0.0,Cytosol,False,
cpd00658_c,Isochorismate_C10H8O6,4,0.0,Cytosol,False,
cpd00200_c,4-Methyl-2-oxopentanoate_C6H9O3,4,0.0,Cytosol,False,
cpd00508_c,(S)-3-Methyl-2-oxopentanoic_acid_C6H9O3,4,0.0,Cytosol,False,
cpd15522_c,"1,2-ditetradecanoyl-sn-glycerol_3-phosph",4,0.0,Cytosol,False,
cpd03198_c,Melibiose_C12H22O11,4,0.15082172,Cytosol,False,
cpd15734_c,"Diglucosyl-1,2_diisopentadecanoylglycero",4,0.69256494,Cytosol,False,
cpd15731_c,"Diglucosyl-1,2_diisoheptadecanoylglycero",4,0.66707584,Cytosol,False,
cpd11515_c,12-methyl-tetra-decanoyl-ACP_C26H49N2O8P,4,0.0,Cytosol,False,
cpd00159_c,(S)-Lactate_C3H5O3,4,0.0,Cytosol,False,
cpd00218_c,Nicotinate_C6H4NO2,4,0.00114679,Cytosol,False,
cpd00146_c,Carbamoyl_phosphate_CH3NO5P,4,0.0,Cytosol,False,
cpd00098_c,Choline_C5H14NO,4,0.0,Cytosol,False,
cpd00327_c,Stearoyl-CoA_C39H67N7O17P3S,4,0.0,Cytosol,False,
cpd02535_c,"2,3-Dihydroxy-3-methylpentanoate_C6H11O4",4,0.60966107,Cytosol,False,
cpd15704_c,"1,2-Diisopentadecanoyl-sn-glycerol_C33H6",3,0.00112432,Cytosol,False,
cpd11573_c,Octodecanoyl-ACP_C29H55N2O8PRS,3,0.0,Cytosol,False,
cpd15529_c,phosphatidylethanolamine_ditetradecanoyl,3,7.85110281,Cytosol,False,
cpd03454_c,3'-CMP_C9H13N3O8P,3,0.0,Cytosol,False,
cpd00033_e,Glycine_C2H5NO2,3,0.0,Extracellular,True,natto_up
cpd00609_c,D-Glucarate_C6H8O8,3,0.0,Cytosol,False,
cpd00281_c,4-Aminobutanoate_C4H9NO2,3,0.0,Cytosol,False,
cpd00550_c,D-Serine_C3H7NO3,3,0.0,Cytosol,False,
cpd15685_c,"CDP-1,2-diisotetradecanoylglycerol_C40H7",3,0.01290323,Cytosol,False,
cpd11519_c,14-methyl-hexa-decanoyl-ACP_C28H53N2O8PR,3,0.0,Cytosol,False,
cpd12139_c,Protein_disulfide_C7H9N3O3R2S2,3,0.0,Cytosol,False,
cpd15797_c,Isopentadecanoylcardiolipin_(B. subtilis,3,0.00147012,Cytosol,False,
cpd00588_c,D-Sorbitol_C6H14O6,3,0.0,Cytosol,False,
cpd00055_c,Formaldehyde_CH2O,3,0.0,Cytosol,False,
cpd11553_c,6-methyl-heptanoyl-ACP_C19H35N2O8PRS,3,0.0,Cytosol,False,
cpd00162_c,Ethanolamine_C2H8NO,3,0.0,Cytosol,False,
cpd01974_c,4-Hydroxy-L-glutamate_C5H8NO5,3,0.0,Cytosol,False,
cpd11475_c,trans-Dec-2-enoyl-[acp]_C21H37N2O8PRS,3,0.0,Cytosol,False,
cpd15309_c,"1,2-Diacyl-sn-glycerol_dihexadecanoyl_C3",3,6.14102627,Cytosol,False,
cpd02678_c,5'-Phosphoribosyl-N-formylglycinamide_C8,3,0.04,Cytosol,False,
cpd00498_c,2-Aceto-2-hydroxybutanoate_C6H9O4,3,0.00043535,Cytosol,True,natto_up
cpd15421_c,"CDP-1,2-dioctadecanoylglycerol_C48H87N3O",3,0.0,Cytosol,False,
cpd00260_c,Isocitrate_C6H5O7,3,0.0,Cytosol,False,
cpd00238_c,Sedoheptulose_7-phosphate_C7H14O10P,3,0.0,Cytosol,False,
cpd00154_c,D-Xylose_C5H10O5,3,0.83092407,Cytosol,False,
cpd15706_c,"1,2-Diisohexadecanoyl-sn-glycerol_C35H68",3,0.00903583,Cytosol,False,
cpd02168_c,Prephytoene_diphosphate_C40H66O7P2,3,0.0,Cytosol,False,
cpd11557_c,8-methyl-nonanoyl-ACP_C21H39N2O8PRS,3,0.0,Cytosol,False,
