reaction,baseline_flux,cfba_flux,delta_flux,abs_delta
rxn02374,9762.646000641536,31.948705630129524,-9730.697295011407,9730.697295011407
rxn02376,7647.994961255869,9695.41464448857,2047.4196832327007,2047.4196832327007
rxn02380,-4486.898685972335,-9999.999999999938,-5513.101314027603,5513.101314027603
rxn02400,0.0,0.0,0.0,0.0
rxn02402,0.0,0.0,0.0,0.0
rxn02417,0.0,0.0,0.0,0.0
rxn02465,0.0,0.0,0.0,0.0
rxn02473,0.0,92.84116685177366,92.84116685177366,92.84116685177366
rxn02474,0.0,0.0,0.0,0.0
rxn02475,0.0,0.0,0.0,0.0
rxn02476,0.0,0.0,0.0,0.0
rxn02495,0.0,0.0,0.0,0.0
rxn02503,0.0,0.0,0.0,0.0
rxn02504,0.0,0.0,0.0,0.0
rxn02507,0.0,61.733971231321675,61.733971231321675,61.733971231321675
rxn02508,0.0,61.73397123132167,61.73397123132167,61.73397123132167
rxn02521,0.0,0.0,0.0,0.0
rxn02522,0.0,0.0,0.0,0.0
rxn02527,0.0,0.0,0.0,0.0
rxn02596,0.0,0.0,0.0,0.0
rxn02666,0.0,0.0,0.0,0.0
rxn02680,41.83153213522345,38.66232706022004,-3.169205075003404,3.169205075003404
rxn02727,0.0,0.0,0.0,0.0
rxn02760,0.0,0.0,0.0,0.0
