name,kegg,cls,fc,logfc,pval,mean_natto,mean_soy,direction,model_id,model_name,compartment,ex_lb,ex_ub,pathways_s2,constraint_type
L-Isoleucine;L-Leucine,C00407;C00123,Amino acid and derivatives,76.4445,6.2563,0.026028,0.254267,0.003326,natto_up,M_cpd00322_e,L-Isoleucine_C6H13NO2,Extracellular,3.1282,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Tropane, piperidine and pyridine alkaloid biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine degradation - Glycine max (soybean)",secretion
Isoleucine,C16434;C06418,Amino acid and derivatives,76.4445,6.2563,0.026028,0.254267,0.003326,natto_up,M_cpd00322_e,L-Isoleucine_C6H13NO2,Extracellular,3.1282,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Tropane, piperidine and pyridine alkaloid biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine degradation - Glycine max (soybean)",secretion
Phloretic acid;Ethylparaben;3-(2-Hydroxyphenyl)propanoic acid,C01744;C01198,Phenols;Phenylpropanoic acids,72.3636,6.1772,0.022761,0.783704,0.01083,natto_up,M_cpd00430_c,Phenyl_acetate_C8H8O2,Cytosol,3.0886,1000.0,,secretion
L-Phenylalanine;D-(+)-Phenylalanine;DL-Phenylalanine,C00079;C02265;C02057,Amino acid and derivatives;Phenols;amino acids,68.7491,6.1033,0.023673,7.529274,0.109518,natto_up,M_cpd00066_c,L-Phenylalanine_C9H11NO2,Cytosol,3.0516,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Cyanoamino acid metabolism - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Phenylalanine metabolism - Glycine max (soybean) | Phenylalanine, tyrosine and tryptophan biosynthesis - Glycine max (soybean) | Tropane, piperidine and pyridine alkaloid biosynthesis - Glycine max (soybean)",secretion
Stachyose,C01613,Organooxygen compounds,0.0155,-6.0157,0.034995,0.000731,0.047287,soy_up,M_cpd01133_c,Stachyose_C24H42O21,Cytosol,-1000.0,-3.0078,Galactose metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),uptake
D-Maltose,C00208,Carbohydrates,0.0181,-5.7914,0.001502,0.016276,0.901411,soy_up,M_cpd00179_e,Maltose_C12H22O11,Extracellular,-1000.0,-2.8957,ABC transporters - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),uptake
Phenethylamine,C05332,Benzene and substituted derivatives,55.355,5.7906,0.01423,0.018381,0.000332,natto_up,M_cpd03161_e,Phenethylamine_C8H12N,Extracellular,2.8953,1000.0,Metabolic pathways - Glycine max (soybean) | Phenylalanine metabolism - Glycine max (soybean),secretion
L-Histidine,C00135,Amino acid and derivatives;amino acids,34.4703,5.1073,0.027905,0.511827,0.014848,natto_up,M_cpd00119_e,L-Histidine_C6H9N3O2,Extracellular,2.5536,1000.0,ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Histidine metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | beta-Alanine metabolism - Glycine max (soybean),secretion
Leukotriene F4,C06462,Fatty Acyls,0.0293,-5.0938,0.045121,5.1e-05,0.001753,soy_up,M_cpd03540_c,Leukotriene_D4_C25H39N2O6S,Cytosol,-1000.0,-2.5469,Metabolic pathways - Glycine max (soybean),uptake
N6-isopentenyladenosine,,phytohormone,30.5668,4.9339,0.026615,0.00138,4.5e-05,natto_up,M_cpd00113_c,Isopentenyl_diphosphate_C5H10O7P2,Cytosol,2.4669,1000.0,,secretion
N-Acetyl-l-leucine,C02710,Amino acid and derivatives,26.2115,4.7121,0.037516,0.004362,0.000166,natto_up,M_cpd00107_e,L-Leucine_C6H13NO2,Extracellular,2.3561,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Glucosinolate biosynthesis - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine degradation - Glycine max (soybean)",secretion
